City,ISS-ID,lat,lon,latcity,loncity,nlat,nlon,MODEL,date,hour,alt,sunazt,sunelv,shu,lens,ap,ISO,Coments,NASA,CoordFLAG,URL,small,large,Thumbnail,coordimage
Ελλάδα,ISS034-E-51051,34.8,28.0,39.074208,21.824312,34.8,28.0,NIKON D3S S/N: 2008336,20130217,204718,223.0,311.0,-59.0,1/40,400.0 mm,3.2,51200,0.0,0.0,5.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS034&roll=E&frame=51051,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS034/ISS034-E-51051.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS034/ISS034-E-51051.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS034/ISS034-E-51051.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=34.8&lon=28.0
Ελλάδα,ISS027-E-20950,37.9,23.1,39.074208,21.824312,37.9,23.1,NIKON D3S S/N: 2007934,20110501,195353,183.0,319.0,-26.0,1/15,200.0 mm,2.8,12800,0.0,0.0,5.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS027&roll=E&frame=20950,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS027/ISS027-E-20950.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS027/ISS027-E-20950.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS027/ISS027-E-20950.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=37.9&lon=23.1
Ελλάδα,ISS027-E-20959,36.8,24.8,39.074208,21.824312,36.8,24.8,NIKON D3S S/N: 2007934,20110501,195420,184.0,320.0,-28.0,1/15,200.0 mm,2.8,12800,0.0,0.0,5.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS027&roll=E&frame=20959,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS027/ISS027-E-20959.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS027/ISS027-E-20959.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS027/ISS027-E-20959.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=36.8&lon=24.8
Ελλάδα,ISS027-E-20967,35.6,26.4,39.074208,21.824312,35.6,26.4,NIKON D3S S/N: 2007934,20110501,195448,184.0,321.0,-30.0,1/15,200.0 mm,2.8,12800,0.0,0.0,5.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS027&roll=E&frame=20967,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS027/ISS027-E-20967.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS027/ISS027-E-20967.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS027/ISS027-E-20967.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=35.6&lon=26.4
Barcelona,ISS032-E-12646,41.0,5.5,41.3850639,2.1734035,41.0,5.5,NIKON D3S S/N: 2053892,20120804,213126,214.0,325.0,-25.0,1/15,98.0 mm,2.8,6400,0.0,0.0,5.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS032&roll=E&frame=12646,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS032/ISS032-E-12646.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS032/ISS032-E-12646.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS032/ISS032-E-12646.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=41.0&lon=5.5
Madrid,ISS030-E-188198,41.2,-3.5,40.4167754,-3.7037902,41.2,-3.5,NIKON D3S S/N: 2053892,20120328,015843,212.0,34.0,-40.0,1/4,85.0 mm,1.6,1600,0.0,0.0,5.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=188198,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-188198.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-188198.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS030/ISS030-E-188198.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=41.2&lon=-3.5
Eritrea,ISS033-E-19648,15.5,38.3,15.179384,39.782334,15.5,38.3,NIKON D3S S/N: 2008336,20121113,013435,223.0,103.0,-27.0,0.6,28.0 mm,2.8,8000,0.0,0.0,5.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS033&roll=E&frame=19648,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS033/ISS033-E-19648.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS033/ISS033-E-19648.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS033/ISS033-E-19648.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=15.5&lon=38.3
Italia,ISS034-E-39006,40.0,10.1,41.87194,12.56738,40.0,10.1,NIKON D3S S/N: 2007931,20130201,211752,223.0,298.0,-53.0,1/6,23.0 mm,2.8,16127,0.0,0.0,5.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS034&roll=E&frame=39006,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS034/ISS034-E-39006.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS034/ISS034-E-39006.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS034/ISS034-E-39006.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=40.0&lon=10.1
السودان (Sudan),ISS030-E-256510,18.7,36.7,12.862807,30.217636,18.7,36.7,NIKON D3S S/N: 2008336,20120414,003512,212.0,62.0,-37.0,0.6,21.0 mm,2.8,6400,0.0,0.0,0.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=256510,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-256510.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-256510.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS030/ISS030-E-256510.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=18.7&lon=36.7
Madrid,ISS030-E-188196,41.0,-3.8,40.4167754,-3.7037902,41.0,-3.8,NIKON D3S S/N: 2053892,20120328,015839,212.0,33.0,-41.0,1/15,85.0 mm,1.6,1600,0.0,0.0,5.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=188196,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-188196.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-188196.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS030/ISS030-E-188196.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=41.0&lon=-3.8
مصر (Egypt),ISS034-E-44556,26.7,31.1,26.820553,30.802498,26.7,31.1,NIKON D3S S/N: 2053892,20130210,002144,221.0,75.0,-57.0,1,180.0 mm,2.8,5000,0.0,0.0,5.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS034&roll=E&frame=44556,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS034/ISS034-E-44556.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS034/ISS034-E-44556.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS034/ISS034-E-44556.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=26.7&lon=31.1
مصر (Egypt),ISS031-E-96814,29.8,28.1,26.820553,30.802498,29.8,28.1,NIKON D3S S/N: 2008336,20120604,191715,209.0,317.0,-24.0,0.4,28.0 mm,1.4,3200,0.0,0.0,5.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS031&roll=E&frame=96814,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS031/ISS031-E-96814.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS031/ISS031-E-96814.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS031/ISS031-E-96814.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=29.8&lon=28.1
مصر (Egypt),ISS034-E-41189,27.2,30.6,26.820553,30.802498,27.2,30.6,NIKON D3S S/N: 2007931,20130203,180122,224.0,267.0,-31.0,2,19.0 mm,2.8,1600,0.0,0.0,5.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS034&roll=E&frame=41189,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS034/ISS034-E-41189.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS034/ISS034-E-41189.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS034/ISS034-E-41189.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=27.2&lon=30.6
Salamanca,ISS034-E-39315,40.3,-6.4,40.9701039,-5.6635397,40.3,-6.4,NIKON D3S S/N: 2053892,20130202,220118,223.0,293.0,-48.0,0.6,180.0 mm,2.8,4000,0.0,0.0,5.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS034&roll=E&frame=39315,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS034/ISS034-E-39315.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS034/ISS034-E-39315.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS034/ISS034-E-39315.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=40.3&lon=-6.4
Italia,ISS031-E-99537,37.9,14.8,41.87194,12.56738,37.9,14.8,NIKON D3S S/N: 2007934,20120604,205250,208.0,328.0,-23.0,0.4,28.0 mm,1.4,3200,0.0,0.0,5.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS031&roll=E&frame=99537,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS031/ISS031-E-99537.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS031/ISS031-E-99537.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS031/ISS031-E-99537.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=37.9&lon=14.8
ABAKO,ISS030-E-208771,37.1,16.7,2.1445917,33.2236838,37.1,16.7,NIKON D3S S/N: 2007934,20120405,203846,212.0,316.0,-36.0,1/30,400.0 mm,2.8,6400,0.0,0.0,0.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=208771,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-208771.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-208771.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS030/ISS030-E-208771.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=37.1&lon=16.7
Palma de Mayorca,ISS030-E-209056,40.2,6.0,39.5751584,2.6536742,40.2,6.0,NIKON D3S S/N: 2007934,20120406,211759,212.0,317.0,-33.0,1/25,400.0 mm,2.8,6400,0.0,0.0,5.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=209056,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-209056.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-209056.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS030/ISS030-E-209056.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=40.2&lon=6.0
