City,ISS-ID,lat,lon,latcity,loncity,nlat,nlon,MODEL,date,hour,alt,sunazt,sunelv,shu,lens,ap,ISO,Coments,NASA,CoordFLAG,URL,small,large,Thumbnail,coordimage
United States of America,ISS034-E-32513,47.9,-104.0,37.09024,-95.712891,47.9,-104.2,NIKON D3S S/N: 2008336,20130120,110802,220.0,82.0,-35.0,1/10,180.0 mm,2.8,10000,0.0,0.0,0.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS034&roll=E&frame=32513,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS034/ISS034-E-32513.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS034/ISS034-E-32513.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS034/ISS034-E-32513.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=47.9&lon=-104.2
United States of America,ISS030-E-183802,31.7,-110.0,37.09024,-95.712891,31.7,-110.8,NIKON D3S S/N: 2053892,20120328,080356,213.0,15.0,-54.0,1/4,85.0 mm,1.6,3200,0.0,0.0,5.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=183802,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-183802.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-183802.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS030/ISS030-E-183802.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=31.7&lon=-110.8
United States of America,ISS030-E-83324,32.2,-109.0,37.09024,-95.712891,32.2,-109.5,NIKON D3S S/N: 2008336,20120203,054127,204.0,295.0,-61.0,1/100,85.0 mm,1.4,6400,0.0,0.0,5.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=83324,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-83324.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-83324.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS030/ISS030-E-83324.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=32.2&lon=-109.5
United States of America,ISS031-E-84490,32.0,-109.0,37.09024,-95.712891,32.0,-109.4,NIKON D3S S/N: 2007944,20120602,053918,209.0,334.0,-31.0,1/20,85.0 mm,1.4,6400,0.0,0.0,5.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS031&roll=E&frame=84490,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS031/ISS031-E-84490.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS031/ISS031-E-84490.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS031/ISS031-E-84490.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=32.0&lon=-109.4
РФ,ISS034-E-34451,51.7,101.0,-32.0324843,-61.2187233,51.7,101.8,NIKON D3S S/N: 2053892,20130124,215114,219.0,84.0,-29.0,1/6,180.0 mm,2.8,10000,0.0,0.0,0.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS034&roll=E&frame=34451,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS034/ISS034-E-34451.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS034/ISS034-E-34451.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS034/ISS034-E-34451.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=51.7&lon=101.8
РФ,ISS034-E-34451,51.7,101.0,-32.0324843,-61.2187233,51.7,101.8,NIKON D3S S/N: 2053892,20130124,215114,219.0,84.0,-29.0,1/6,180.0 mm,2.8,10000,0.0,0.0,0.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS034&roll=E&frame=34451,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS034/ISS034-E-34451.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS034/ISS034-E-34451.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS034/ISS034-E-34451.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=51.7&lon=101.8
Denver,ISS031-E-112407,40.1,-106.0,39.737567,-104.9847179,40.1,-106.7,NIKON D3S S/N: 2053892,20120604,052905,208.0,336.0,-24.0,1/80,85.0 mm,1.4,6400,0.0,0.0,5.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS031&roll=E&frame=112407,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS031/ISS031-E-112407.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS031/ISS031-E-112407.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS031/ISS031-E-112407.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=40.1&lon=-106.7
México,ISS030-E-283116,27.2,-110.0,23.634501,-102.552784,27.2,-110.0,NIKON D3S S/N: 2007931,20120426,045559,212.0,315.0,-37.0,1/100,85.0 mm,1.4,6400,0.0,0.0,5.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=283116,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-283116.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-283116.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS030/ISS030-E-283116.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=27.2&lon=-110.0
United States of America,ISS031-E-95676,33.4,-108.0,37.09024,-95.712891,33.4,-108.8,NIKON D3S S/N: 2053892,20120605,043323,209.0,320.0,-22.0,1/25,85.0 mm,1.4,3200,0.0,0.0,5.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS031&roll=E&frame=95676,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS031/ISS031-E-95676.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS031/ISS031-E-95676.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS031/ISS031-E-95676.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=33.4&lon=-108.8
United States of America,ISS030-E-222958,44.6,-103.0,37.09024,-95.712891,44.6,-103.4,NIKON D3S S/N: 2053892,20120404,061454,212.0,347.0,-39.0,1/80,85.0 mm,1.4,6400,0.0,0.0,0.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=222958,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-222958.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-222958.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS030/ISS030-E-222958.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=44.6&lon=-103.4
México,ISS034-E-50018,25.0,-109.0,23.634501,-102.552784,25.0,-109.3,NIKON D3S S/N: 2053892,20130217,065643,223.0,326.0,-75.0,0.8,180.0 mm,2.8,4000,0.0,0.0,5.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS034&roll=E&frame=50018,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS034/ISS034-E-50018.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS034/ISS034-E-50018.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS034/ISS034-E-50018.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=25.0&lon=-109.3
中华人民共和国/China,ISS034-E-37235,38.2,105.0,35.86166,104.195397,38.2,105.2,NIKON D3S S/N: 2007931,20130129,160141,223.0,318.0,-65.0,0.6,180.0 mm,2.8,4000,0.0,0.0,5.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS034&roll=E&frame=37235,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS034/ISS034-E-37235.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS034/ISS034-E-37235.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS034/ISS034-E-37235.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=38.2&lon=105.2
Монгол улс,ISS030-E-273456,49.7,99.9,46.862496,103.846656,49.7,99.9,NIKON D3S S/N: 2053892,20120209,154216,203.0,317.0,-48.0,1/30,85.0 mm,2.5,3200,0.0,0.0,5.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=273456,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-273456.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-273456.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS030/ISS030-E-273456.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=49.7&lon=99.9
Denver,ISS030-E-271964,40.4,-104.0,39.737567,-104.9847179,40.4,-104.1,NIKON D3S S/N: 2007931,20120423,043141,212.0,320.0,-28.0,1/100,85.0 mm,1.4,6400,0.0,0.0,5.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=271964,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-271964.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-271964.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS030/ISS030-E-271964.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=40.4&lon=-104.1
Malaysia,ISS031-E-126063,3.9,110.8,4.210484,101.975766,3.9,110.8,NIKON D3S S/N: 2007931,20120615,192334,216.0,54.0,-41.0,0.3,24.0 mm,1.4,3200,0.0,0.0,5.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS031&roll=E&frame=126063,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS031/ISS031-E-126063.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS031/ISS031-E-126063.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS031/ISS031-E-126063.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=3.9&lon=110.8
中华人民共和国/China,ISS034-E-37231,37.5,104.0,35.86166,104.195397,37.5,104.1,NIKON D3S S/N: 2007931,20130129,160123,223.0,315.0,-64.0,1,180.0 mm,2.8,4000,0.0,0.0,5.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS034&roll=E&frame=37231,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS034/ISS034-E-37231.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS034/ISS034-E-37231.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS034/ISS034-E-37231.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=37.5&lon=104.1
"Winnipeg,Canada",ISS034-E-48655,49.2,-99.0,49.8997541,-97.1374937,49.2,-99.8,NIKON D3S S/N: 2053892,20130214,043646,222.0,310.0,-44.0,1/8,180.0 mm,2.8,4000,0.0,0.0,5.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS034&roll=E&frame=48655,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS034/ISS034-E-48655.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS034/ISS034-E-48655.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS034/ISS034-E-48655.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=49.2&lon=-99.8
"El Paso, US",ISS030-E-223777,33.2,-105.0,31.7699559,-106.4968055,33.2,-105.6,NIKON D3S S/N: 2053892,20120406,041840,212.0,307.0,-34.0,1/100,85.0 mm,1.4,6400,0.0,0.0,5.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=223777,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-223777.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-223777.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS030/ISS030-E-223777.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=33.2&lon=-105.6
Denver,ISS034-E-43226,38.4,-103.0,39.737567,-104.9847179,38.4,-103.8,NIKON D3S S/N: 2008336,20130206,094612,221.0,68.0,-49.0,1/20,400.0 mm,2.8,51200,0.0,0.0,5.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS034&roll=E&frame=43226,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS034/ISS034-E-43226.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS034/ISS034-E-43226.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS034/ISS034-E-43226.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=38.4&lon=-103.8
,ISS030-E-226163,29.0,-74.0,0.0,0.0,29.0,-74.8,NIKON D3S S/N: 2008336,20120410,084730,211.0,65.0,-24.0,1/10,28.0 mm,1.4,3200,0.0,0.0,0.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=226163,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-226163.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-226163.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS030/ISS030-E-226163.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=29.0&lon=-74.8
"El Paso, US",ISS030-E-166443,32.2,-105.0,31.7699559,-106.4968055,32.2,-105.3,NIKON D3S S/N: 2053892,20120320,105408,212.0,70.0,-28.0,1/20,85.0 mm,1.6,3200,0.0,0.0,5.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=166443,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-166443.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-166443.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS030/ISS030-E-166443.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=32.2&lon=-105.3
"Winnipeg,Canada",ISS030-E-223018,51.5,-97.0,49.8997541,-97.1374937,51.5,-97.4,NIKON D3S S/N: 2053892,20120404,075244,211.0,23.0,-30.0,1/80,85.0 mm,1.4,6400,0.0,0.0,5.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=223018,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-223018.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-223018.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS030/ISS030-E-223018.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=51.5&lon=-97.4
"El Paso, US",ISS030-E-166441,32.1,-105.0,31.7699559,-106.4968055,32.1,-105.5,NIKON D3S S/N: 2053892,20120320,105406,212.0,70.0,-28.0,1/15,85.0 mm,1.6,3200,0.0,0.0,5.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=166441,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-166441.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-166441.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS030/ISS030-E-166441.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=32.1&lon=-105.5
