City,ISS-ID,lat,lon,latcity,loncity,nlat,nlon,MODEL,date,hour,alt,sunazt,sunelv,shu,ap,ISO,Coments,NASA,CoordFLAG,URL,small,large,Thumbnail
Barcelona,ISS032-E-12646,41.0,5.5,41.3870186,2.1700437,41.0,5.5,NIKON D3S S/N: 2053892,20120804,213126,214.0,325.0,-25.0,1/15,2.8,6400,0.0,0.0,5.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS032&roll=E&frame=12646,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS032/ISS032-E-12646.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS032/ISS032-E-12646.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS032/ISS032-E-12646.jpg
Madrid,ISS030-E-188198,41.2,-3.5,40.52516075,-3.77181653957,41.2,-3.5,NIKON D3S S/N: 2053892,20120328,015843,212.0,34.0,-40.0,1/4,1.6,1600,0.0,0.0,5.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=188198,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-188198.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-188198.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS030/ISS030-E-188198.jpg
New York,ISS026-E-7854,40.9,-65.0,40.7305991,-73.9865812,40.9,-65.3,NIKON D3S S/N: 2007934,20101206,065209,187.0,74.0,-52.0,1/15,2.8,12800,0.0,0.0,5.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS026&roll=E&frame=7854,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-7854.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS026/ISS026-E-7854.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS026/ISS026-E-7854.jpg
Londres,ISS034-E-6075,51.8,2.5,0.0,0.0,51.8,2.5,NIKON D3S S/N: 2007931,20121209,222435,216.0,325.0,-58.0,0.8,2.8,5000,0.0,0.0,0.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS034&roll=E&frame=6075,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS034/ISS034-E-6075.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS034/ISS034-E-6075.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS034/ISS034-E-6075.jpg
Paris,ISS038-E-44373,46.6,2.0,48.8565056,2.3521334,46.6,2.0,NIKON D3S S/N: 2021064,20131216,211710,224.0,294.0,-52.0,1/50,4.0,16127,0.0,0.0,5.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS038&roll=E&frame=44373,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS038/ISS038-E-44373.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS038/ISS038-E-44373.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS038/ISS038-E-44373.jpg
CHICAGO,ISS026-E-26545,41.6,-87.0,0.0,0.0,47.6,-92.4,NIKON D3S S/N: 2007934,20110212,100610,188.0,73.0,-33.0,1/15,2.8,12800,0.0,1.0,0.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS026&roll=E&frame=26545,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-26545.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS026/ISS026-E-26545.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS026/ISS026-E-26545.jpg
Cadiz,ISS030-E-209446,38.2,-4.9,36.5216471,-6.2826008,38.2,-4.9,NIKON D3S S/N: 2007934,20120408,210012,212.0,303.0,-25.0,1/30,2.8,6400,0.0,0.0,5.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=209446,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-209446.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-209446.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS030/ISS030-E-209446.jpg
