ISS-ID,nlon,nlat,CoordFLAG
ISS030-E-61693,-110.9,31.4, 5.0
ISS030-E-63294,-110.4,37.9, 5.0
ISS030-E-85860,80.4,29.3, 5.0
ISS031-E-111105,12.1,36.0, 5.0
ISS031-E-132700,15.5,-33.1, 5.0
ISS031-E-36964,71.8,7.8, 5.0
ISS031-E-69983,50.1,31.1, 5.0
ISS031-E-83781,-108.0,33.1, 5.0
ISS031-E-95629,-3.0,41.4, 5.0
ISS032-E-11330,-39.2,-21.7, 5.0
ISS032-E-12121,10.7,43.7, 5.0
ISS032-E-12453,17.3,51.4, 5.0
ISS032-E-12765,17.6,51.4, 5.0
ISS032-E-15029,-9.4,41.8, 5.0
ISS032-E-17158,2.4,51.3, 5.0
ISS033-E-10475,-79.6,33.6, 5.0
ISS033-E-10628,-79.6,36.9, 5.0
ISS033-E-12473,41.2,44.8, 5.0
ISS033-E-13705,19.5,44.6, 5.0
ISS033-E-14186,-73.9,40.2, 5.0
ISS033-E-14336,144.0,37.6, 5.0
ISS033-E-14393,20.2,-35.4, 5.0
ISS033-E-21462,139.5,33.9, 5.0
ISS033-E-22734,137.4,35.7, 5.0
ISS033-E-22746,145.6,41.0, 5.0
ISS033-E-6676,56.7,31.4, 5.0
ISS033-E-7606,42.6,33.4, 5.0
ISS034-E-31367,-87.3,40.7, 5.0
ISS034-E-35268,89.9,43.7, 5.0
ISS034-E-35358,42.6,51.5, 5.0
ISS034-E-35432,131.4,37.4, 5.0
ISS034-E-35548,-116.8,40.2, 5.0
ISS034-E-37203,81.1,14.8, 5.0
ISS034-E-38811,123.3,31.9, 5.0
ISS034-E-38817,124.2,32.7, 5.0
ISS034-E-39005,1.2,33.8, 5.0
ISS034-E-39362,18.5,42.6, 5.0
ISS034-E-39369,21.4,44.0, 5.0
ISS034-E-40460,-115.1,50.9, 5.0
ISS034-E-40736,134.0,35.2, 5.0
ISS034-E-41598,2.1,37.3, 5.0
ISS034-E-44519,56.9,24.3, 5.0
ISS034-E-44544,15.2,39.5, 5.0
ISS034-E-44584,-77.4,38.4, 5.0
ISS034-E-44595,-81.6,21.0, 5.0
ISS034-E-44849,134.4,43.9, 5.0
ISS034-E-45495,-80.2,30.3, 5.0
ISS034-E-47335,56.2,31.5, 5.0
ISS034-E-48172,54.7,29.5, 5.0
ISS034-E-48188,58.8,25.5, 5.0
ISS034-E-50141,-2.7,50.0, 5.0
ISS034-E-51082,32.1,31.4, 5.0
ISS034-E-51139,39.3,24.4, 5.0
ISS034-E-6075,2.5,51.8, 5.0
ISS034-E-6291,141.5,34.4, 5.0
ISS034-E-7443,-85.2,41.5, 5.0
ISS035-E-15465,-80.9,37.7, 5.0
ISS035-E-17145,-6.9,49.0, 5.0
ISS035-E-17182,5.6,51.2, 5.0
ISS035-E-17217,15.9,51.8, 5.0
ISS035-E-17228,19.8,51.8, 5.0
ISS035-E-20937,9.7,49.0, 5.0
ISS035-E-20985,18.4,46.4, 5.0
ISS035-E-21592,69.4,18.4, 5.0
ISS035-E-22047,53.4,21.7, 5.0
ISS035-E-23381,-0.8,41.1, 5.0
ISS035-E-23425,11.9,32.2, 5.0
ISS035-E-7916,-104.2,19.5, 5.0
ISS036-E-30908,-82.1,20.2, 5.0
ISS036-E-32769,145.8,-37.9, 5.0
ISS036-E-9405,-94.1,24.7, 5.0
ISS037-E-10649,-76.9,26.5, 5.0
ISS037-E-20639,115.2,-32.8, 5.0
ISS038-E-10484,6.8,41.1, 5.0
ISS038-E-10485,8.5,42.0, 5.0
ISS038-E-11638,-2.9,37.2, 5.0
ISS038-E-19764,-0.2,25.2, 5.0
ISS038-E-2905,124.0,24.2, 5.0
ISS038-E-4422,-107.5,33.3, 5.0
ISS038-E-44464,36.0,23.1, 5.0
ISS038-E-56282,57.0,18.3, 5.0
ISS038-E-9595,-116.7,33.0, 5.0
ISS038-E-9806,12.5,46.0, 5.0
ISS038-E-9812,19.0,48.1, 5.0
